TRANSACTION_DATE,QUANTITY,STORE_ID,DISCOUNT_PERCENT,PRODUCT_ID,TRANSACTION_ID,CLEAN_QUANTITY,CLEAN_DISCOUNT,STD_DATE,LKP_PRODUCT_ID,PRODUCT_NAME,CATEGORY,BRAND,COST_PRICE,UNIT_PRICE,O_STORE_ID_STR,LKP_STORE_ID,STORE_NAME,CITY,STATE,NET_REVENUE
04-07-2024,5,,10,P_005,100024,5,10,04-07-2024,P_005,Product 005,Sports,BrandD,58.75,90.98,,,,,,409.41
05-07-2024,4,104,10,,100048,4,10,04-12-2024,,,,,,,104,104,Store 104,Bengaluru,KA,
06-07-2024,1,106,10,,100059,1,10,04-10-2024,,,,,,,106,106,Store 106,Pune,MH,
07-07-2024,3,,10,P_020,100575,3,10,05-11-2024,P_020,Product 020,Home,BrandB,33.73,56.75,,,,,,153.22
08-07-2024,2,,10,P_003,100656,2,10,05-10-2024,P_003,Product 003,Clothing,BrandD,95.83,145.24,,,,,,261.43
09-07-2024,-3,108,0,P_028,100731,3,0,05-10-2024,P_028,Product 028,Grocery,BrandB,285.08,486.14,108,108,Store 108,Chennai,TN,1458.42
10-07-2024,1,105,10,,100903,1,10,05-01-2024,,,,,,,105,105,Store 105,Hyderabad,TS,
11-07-2024,4,108,0,,100980,4,0,06-03-2024,,,,,,,108,108,Store 108,Chennai,TN,
12-07-2024,2,,10,P_030,101321,2,10,06-03-2024,P_030,Product 030,Home,BrandB,272.48,363.65,,,,,,654.57
13-07-2024,5,,0,P_042,101389,5,0,06-10-2024,P_042,Product 042,Electronics,BrandD,54.28,78.27,,,,,,391.35
14-07-2024,5,104,10,,101676,5,10,07-01-2024,,,,,,,104,104,Store 104,Bengaluru,KA,
15-07-2024,1,108,0,,101771,1,0,07-04-2024,,,,,,,108,108,Store 108,Chennai,TN,
16-07-2024,3,107,0,P_020,101798,3,0,07-01-2024,P_020,Product 020,Home,BrandB,33.73,56.75,107,107,Store 107,Mumbai,MH,170.25
17-07-2024,5,107,0,P_031,101836,5,0,08-03-2024,P_031,Product 031,Clothing,BrandD,69.33,125.63,107,107,Store 107,Mumbai,MH,628.15
18-07-2024,4,108,10,,101957,4,10,08-06-2024,,,,,,,108,108,Store 108,Chennai,TN,
19-07-2024,-1,102,0,P_048,102160,1,0,08-11-2024,P_048,Product 048,Sports,BrandA,232.9,350.44,102,102,Store 102,Gurugram,HR,350.44
20-07-2024,3,102,10,,102209,3,10,08-01-2024,,,,,,,102,102,Store 102,Gurugram,HR,
21-07-2024,4,,0,P_038,102248,4,0,08-10-2024,P_038,Product 038,Sports,BrandC,324.13,448.92,,,,,,1795.68
22-07-2024,2,104,0,P_013,102258,2,0,08-01-2024,P_013,Product 013,Sports,BrandB,198.67,397.19,104,104,Store 104,Bengaluru,KA,794.38
23-07-2024,1,106,0,,102366,1,0,09-08-2024,,,,,,,106,106,Store 106,Pune,MH,
24-07-2024,4,106,10,,102409,4,10,09-08-2024,,,,,,,106,106,Store 106,Pune,MH,
25-07-2024,-2,105,10,P_025,102514,2,10,09-05-2024,P_025,Product 025,Electronics,BrandB,92.74,144.61,105,105,Store 105,Hyderabad,TS,260.3
26-07-2024,3,102,0,,102879,3,0,10-04-2024,,,,,,,102,102,Store 102,Gurugram,HR,
27-07-2024,1,104,10,,103195,1,10,11-07-2024,,,,,,,104,104,Store 104,Bengaluru,KA,
28-07-2024,-5,107,10,P_029,103278,5,10,11-05-2024,P_029,Product 029,Home,BrandB,316.8,425.97,107,107,Store 107,Mumbai,MH,1916.86
29-07-2024,2,105,-10,P_013,103567,2,10,11-06-2024,P_013,Product 013,Sports,BrandB,198.67,397.19,105,105,Store 105,Hyderabad,TS,714.94
30-07-2024,-3,103,0,P_009,103638,3,0,12-10-2024,P_009,Product 009,Clothing,BrandC,96.09,153.81,103,103,Store 103,Delhi,DL,461.43
31-07-2024,2,,10,P_045,103716,2,10,12-11-2024,P_045,Product 045,Grocery,BrandA,68.92,109.5,,,,,,197.1
01-08-2024,3,106,10,,103746,3,10,12-02-2024,,,,,,,106,106,Store 106,Pune,MH,
02-08-2024,-1,108,0,P_026,103887,1,0,12-01-2024,P_026,Product 026,Clothing,BrandB,148.98,285.01,108,108,Store 108,Chennai,TN,285.01
03-08-2024,4,105,0,P_023,103892,4,0,12-05-2024,P_023,Product 023,Home,BrandA,193.9,336.3,105,105,Store 105,Hyderabad,TS,1345.2
04-08-2024,3,107,0,P_039,104101,3,0,01-10-2025,P_039,Product 039,Electronics,BrandD,179.34,242.93,107,107,Store 107,Mumbai,MH,728.79
05-08-2024,4,,10,P_015,104300,4,10,01-10-2025,P_015,Product 015,Home,BrandD,281.43,463.89,,,,,,1670
06-08-2024,1,103,-10,P_032,104334,1,10,01-11-2025,P_032,Product 032,Home,BrandB,115.04,135.47,103,103,Store 103,Delhi,DL,121.92
07-08-2024,4,108,0,,104411,4,0,01-04-2025,,,,,,,108,108,Store 108,Chennai,TN,
08-08-2024,2,,0,P_010,104526,2,0,01-01-2025,P_010,Product 010,Sports,BrandB,13.81,16.9,,,,,,33.8
09-08-2024,1,,10,P_011,104557,1,10,02-10-2025,P_011,Product 011,Home,BrandA,63.95,107.43,,,,,,96.69
10-08-2024,-4,105,0,P_021,104830,4,0,02-08-2025,P_021,Product 021,Grocery,BrandD,112.23,191.7,105,105,Store 105,Hyderabad,TS,766.8
11-08-2024,-4,105,0,P_021,104830,4,0,02-08-2025,P_021,Product 021,Grocery,BrandD,112.23,191.7,105,105,Store 105,Hyderabad,TS,766.8
12-08-2024,3,106,10,,104914,3,10,02-12-2025,,,,,,,106,106,Store 106,Pune,MH,
13-08-2024,4,104,0,,104981,4,0,02-10-2025,,,,,,,104,104,Store 104,Bengaluru,KA,
14-08-2024,2,101,0,P_038,105248,2,0,03-01-2025,P_038,Product 038,Sports,BrandC,324.13,448.92,101,101,Store 101,Noida,UP,897.84
15-08-2024,4,103,-10,P_002,105449,4,10,03-10-2025,P_002,Product 002,Sports,BrandC,165.08,307.45,103,103,Store 103,Delhi,DL,1106.82
16-08-2024,2,,0,P_041,105456,2,0,03-10-2025,P_041,Product 041,Home,BrandB,230.38,350.8,,,,,,701.6
17-08-2024,2,106,10,,105476,2,10,03-07-2025,,,,,,,106,106,Store 106,Pune,MH,
18-08-2024,2,102,-10,P_046,105580,2,10,04-01-2025,P_046,Product 046,Electronics,BrandB,276,472,102,102,Store 102,Gurugram,HR,849.6
19-08-2024,4,,0,P_047,105632,4,0,04-11-2025,P_047,Product 047,Grocery,BrandC,237.02,303.44,,,,,,1213.76
20-08-2024,4,,0,P_010,105638,4,0,04-02-2025,P_010,Product 010,Sports,BrandB,13.81,16.9,,,,,,67.6
21-08-2024,3,106,0,,105740,3,0,04-02-2025,,,,,,,106,106,Store 106,Pune,MH,
